R4301J97R04O* C1997 09 08.01989 23 04 12.73 -01 35 52.0          20.3 Vz30625910
R4301         C2022 02 25.63830114 40 48.300-12 50 41.96         20.96wU~5UWqF52
R4301         C2022 02 25.64583914 40 48.477-12 50 41.41         20.85wU~5UWqF52
R4301         C2022 03 02.59848114 42 34.171-12 42 31.18         20.67wU~5UWqF52
R4301         C2022 03 02.62261614 42 34.549-12 42 28.14         20.79wU~5UWqF52
R4301         C2022 03 02.63468214 42 34.736-12 42 26.79         20.67wU~5UWqF52
R4301         C2022 04 06.41379714 36 15.102-10 00 46.44         19.67GV~5Z7sG96
R4301         C2022 04 06.41940814 36 14.825-10 00 44.14         20.23GV~5Z7sG96
R4301         C2022 04 06.42503114 36 14.602-10 00 41.80         20.37GV~5Z7sG96
R4301         C2022 04 06.43070614 36 14.382-10 00 39.53         20.24GV~5Z7sG96
R4301         C2022 04 10.48479114 33 27.457-09 31 38.42         20.36GV~5Z7sG96
R4301         C2022 04 10.48994414 33 27.256-09 31 36.23         20.20GV~5Z7sG96
R4301         C2022 04 10.49510614 33 27.004-09 31 33.53         20.34GV~5Z7sG96
R4301         C2022 04 10.50027914 33 26.766-09 31 30.50         20.64GV~5Z7sG96
R4301         C2022 04 24.32120314 21 58.126-07 46 13.12         21.39GV~5aIQG96
R4301         C2022 04 24.32634114 21 57.859-07 46 10.99         20.72GV~5aIQG96
R4301         C2022 04 24.33149214 21 57.568-07 46 08.65         20.88GV~5aIQG96
R4301         C2022 04 24.33662514 21 57.272-07 46 06.71         20.96GV~5aIQG96
R4301         C2022 04 26.38185314 20 06.101-07 30 24.74         19.65wU~5aIQF52
R4301         C2022 04 26.38249014 20 06.056-07 30 24.53         19.64wU~5aIQF52
R4301         C2022 04 26.39468214 20 05.360-07 30 18.89         19.71wU~5aIQF52
R4301         C2022 04 26.39531314 20 05.325-07 30 18.72         19.66wU~5aIQF52
R4301         C2022 04 26.40748814 20 04.626-07 30 13.11         19.64wU~5aIQF52
R4301         C2022 04 26.40813714 20 04.594-07 30 12.78         19.69wU~5aIQF52
R4301         C2022 04 26.42033314 20 03.890-07 30 07.16         19.66wU~5aIQF52
R4301         C2022 04 26.42096814 20 03.863-07 30 06.94         19.67wU~5aIQF52
R4301         C2022 04 30.43518814 16 23.681-06 59 56.41         19.99wU~5bTSF52
R4301         C2022 04 30.45944114 16 22.288-06 59 45.53         20.02wU~5bTSF52
R4301         C2022 04 30.47154314 16 21.610-06 59 40.23         19.98wU~5bTSF52
R4301         C2022 05 02.66664614 14 21.92 -06 43 40.8          19.9 RV~5bTSD29
R4301         C2022 05 02.68078714 14 21.13 -06 43 34.6          19.9 RV~5bTSD29
R4301         C2022 05 03.33104214 13 45.865-06 38 55.03               V~5bTSG96
R4301         C2022 05 03.33627314 13 45.570-06 38 52.51         19.63GV~5bTSG96
R4301         C2022 05 03.34150314 13 45.260-06 38 50.53         19.91GV~5bTSG96
R4301         C2022 05 03.34673814 13 44.965-06 38 48.23         20.08GV~5bTSG96
R4301         C2022 05 18.26636814 01 32.977-05 07 06.05         20.14wU~5esRF52
R4301         C2022 05 18.27719714 01 32.499-05 07 02.86         20.06wU~5esRF52
R4301         C2022 05 18.28808314 01 32.019-05 06 59.59         20.11wU~5esRF52
R4301         C2022 05 18.29895314 01 31.543-05 06 56.44         20.15wU~5esRF52
R4301         C2022 05 26.31784013 56 37.534-04 33 27.41         20.25wU~5h3UF52
R4301         C2022 05 26.32035813 56 37.452-04 33 26.84         20.24wU~5h3UF52
R4301         C2022 05 26.32938413 56 37.150-04 33 24.96         20.43wU~5h3UF52
R4301         C2022 05 26.33190313 56 37.062-04 33 24.59         20.27wU~5h3UF52
R4301         C2022 05 26.34090413 56 36.767-04 33 22.67         20.36wU~5h3UF52
R4301         C2022 05 26.34345613 56 36.679-04 33 22.30         20.19wU~5h3UF52
R4301         C2022 05 26.35248313 56 36.384-04 33 20.27         20.38wU~5h3UF52
R4301         C2022 05 26.35500913 56 36.297-04 33 19.89         20.25wU~5h3UF52
R4301         C2022 05 29.25265813 55 12.965-04 24 26.71         21.02GV~5h3UG96
R4301         C2022 05 29.25784113 55 12.824-04 24 26.03         20.34GV~5h3UG96
R4301         C2022 05 29.26304313 55 12.662-04 24 25.02         20.95GV~5h3UG96
R4301         C2022 05 29.26821613 55 12.508-04 24 23.94         20.71GV~5h3UG96
R4301         C2023 06 28.59082301 24 37.168+09 53 29.61         20.90wX~6wEkF51
R4301         C2023 06 28.59530001 24 37.612+09 53 31.78         20.94wX~6wEkF51
R4301         C2023 06 28.59980601 24 38.044+09 53 33.65         20.98wX~6wEkF51
R4301         C2023 06 28.60429901 24 38.479+09 53 35.63         20.94wX~6wEkF51
