tree_anzsic_2006,tree_isic_4,comment,prefixed_id,skos_uri
0199,0144,many-to-many correspondence,ce402522-9c5e-4e36-af70-3166a854dbdb,http://www.w3.org/2004/02/skos/core#relatedMatch
0199,0149,many-to-many correspondence,adbf37ad-49c9-48c1-8ec6-4eb9a7f03bd7,http://www.w3.org/2004/02/skos/core#relatedMatch
0201,0321,many-to-one correspondence,0c4bb73c-ac24-4d84-b639-66fc8b4061c3,http://www.w3.org/2004/02/skos/core#broadMatch
0202,0321,many-to-one correspondence,6432f9ab-312a-4df3-b462-5a77511d7452,http://www.w3.org/2004/02/skos/core#broadMatch
0203,0321,many-to-many correspondence,1c01d3e9-c9b6-4f66-8996-682451aac110,http://www.w3.org/2004/02/skos/core#relatedMatch
0203,0322,one-to-many correspondence,cce9eed9-b311-40fd-9f3e-53e1e6853266,http://www.w3.org/2004/02/skos/core#narrowMatch
0301,0210,many-to-many correspondence,9baff792-3d93-4311-9fba-82d384dde481,http://www.w3.org/2004/02/skos/core#relatedMatch
0301,0230,one-to-many correspondence,8ad00b5d-4b5a-41db-9819-9fe034ce0eea,http://www.w3.org/2004/02/skos/core#narrowMatch
0302,0220,one-to-one correspondence,cf39b187-7868-4bb2-890d-1f0afd22eca7,http://www.w3.org/2004/02/skos/core#exactMatch
0411,0311,many-to-one correspondence,af44ffcc-24de-4465-ab8e-431d9bfa6cbf,http://www.w3.org/2004/02/skos/core#broadMatch
0412,0311,many-to-one correspondence,6c260388-ce63-4a1d-a8d8-89cc746ba787,http://www.w3.org/2004/02/skos/core#broadMatch
0413,0311,many-to-one correspondence,95aed38c-84e0-433d-9965-94b6ee2a4514,http://www.w3.org/2004/02/skos/core#broadMatch
0414,0311,many-to-one correspondence,742a8368-d67b-43f5-976c-e644c00cb1ee,http://www.w3.org/2004/02/skos/core#broadMatch
0419,0311,many-to-many correspondence,43261ba7-e36a-47ac-bf2c-b7cdb39b0b82,http://www.w3.org/2004/02/skos/core#relatedMatch
0419,0312,many-to-many correspondence,29661533-5216-4e59-8c7a-4441ffc7213b,http://www.w3.org/2004/02/skos/core#relatedMatch
0420,0170,one-to-one correspondence,fb5db4be-aead-4371-a85b-8c0c413a0e75,http://www.w3.org/2004/02/skos/core#exactMatch
